date,country,value
2020-01-22,Afghanistan,0
2020-01-22,Albania,0
2020-01-22,Algeria,0
2020-01-22,Andorra,0
2020-01-22,Antigua and Barbuda,0
2020-01-22,Argentina,0
2020-01-22,Armenia,0
2020-01-22,Australia,0
2020-01-22,Austria,0
2020-01-22,Azerbaijan,0
2020-01-22,Bahrain,0
2020-01-22,Bangladesh,0
2020-01-22,Barbados,0
2020-01-22,Belarus,0
2020-01-22,Belgium,0
2020-01-22,Benin,0
2020-01-22,Bhutan,0
2020-01-22,Bolivia,0
2020-01-22,Bosnia and Herzegovina,0
2020-01-22,Brazil,0
2020-01-22,Brunei,0
2020-01-22,Bulgaria,0
2020-01-22,Burkina Faso,0
2020-01-22,Cambodia,0
2020-01-22,Cameroon,0
2020-01-22,Canada,0
2020-01-22,Central African Republic,0
2020-01-22,Chile,0
2020-01-22,China,548
2020-01-22,Colombia,0
2020-01-22,Congo (Brazzaville),0
2020-01-22,Congo (Kinshasa),0
2020-01-22,Costa Rica,0
2020-01-22,Cote d'Ivoire,0
2020-01-22,Croatia,0
2020-01-22,Cruise Ship,0
2020-01-22,Cuba,0
2020-01-22,Cyprus,0
2020-01-22,Czechia,0
2020-01-22,Denmark,0
2020-01-22,Djibouti,0
2020-01-22,Dominican Republic,0
2020-01-22,Ecuador,0
2020-01-22,Egypt,0
2020-01-22,Equatorial Guinea,0
2020-01-22,Estonia,0
2020-01-22,Eswatini,0
2020-01-22,Ethiopia,0
2020-01-22,Finland,0
2020-01-22,France,0
2020-01-22,Gabon,0
2020-01-22,"Gambia, The",0
2020-01-22,Georgia,0
2020-01-22,Germany,0
2020-01-22,Ghana,0
2020-01-22,Greece,0
2020-01-22,Greenland,0
2020-01-22,Guatemala,0
2020-01-22,Guinea,0
2020-01-22,Guyana,0
2020-01-22,Holy See,0
2020-01-22,Honduras,0
2020-01-22,Hungary,0
2020-01-22,Iceland,0
2020-01-22,India,0
2020-01-22,Indonesia,0
2020-01-22,Iran,0
2020-01-22,Iraq,0
2020-01-22,Ireland,0
2020-01-22,Israel,0
2020-01-22,Italy,0
2020-01-22,Jamaica,0
2020-01-22,Japan,2
2020-01-22,Jordan,0
2020-01-22,Kazakhstan,0
2020-01-22,Kenya,0
2020-01-22,"Korea, South",1
2020-01-22,Kosovo,0
2020-01-22,Kuwait,0
2020-01-22,Kyrgyzstan,0
2020-01-22,Latvia,0
2020-01-22,Lebanon,0
2020-01-22,Liberia,0
