,iso3,country_region
0,AFG,Afghanistan
1,ALB,Albania
2,DZA,Algeria
3,AND,Andorra
4,AGO,Angola
5,ATG,Antigua and Barbuda
6,ARG,Argentina
7,ARM,Armenia
8,AUT,Austria
9,AZE,Azerbaijan
10,BHS,Bahamas
11,BHR,Bahrain
12,BGD,Bangladesh
13,BRB,Barbados
14,BLR,Belarus
15,BEL,Belgium
16,BLZ,Belize
17,BEN,Benin
18,BTN,Bhutan
19,BOL,Bolivia
20,BIH,Bosnia and Herzegovina
21,BRA,Brazil
22,BRN,Brunei
23,BGR,Bulgaria
24,BFA,Burkina Faso
25,MMR,Burma
26,CPV,Cabo Verde
27,KHM,Cambodia
28,CMR,Cameroon
29,CAF,Central African Republic
30,TCD,Chad
31,CHL,Chile
32,COL,Colombia
33,COG,Congo (Brazzaville)
34,COD,Congo (Kinshasa)
35,CRI,Costa Rica
36,CIV,Cote d'Ivoire
37,HRV,Croatia
38,CUB,Cuba
39,CYP,Cyprus
40,CZE,Czechia
41,DNK,Denmark
42,,Diamond Princess
43,DJI,Djibouti
44,DMA,Dominica
45,DOM,Dominican Republic
46,ECU,Ecuador
47,EGY,Egypt
48,SLV,El Salvador
49,GNQ,Equatorial Guinea
50,ERI,Eritrea
51,EST,Estonia
52,SWZ,Eswatini
53,ETH,Ethiopia
54,FJI,Fiji
55,FIN,Finland
56,FRA,France
57,GAB,Gabon
58,GMB,Gambia
59,GEO,Georgia
60,DEU,Germany
61,GHA,Ghana
62,GRC,Greece
63,GRD,Grenada
64,GTM,Guatemala
65,GIN,Guinea
66,GNB,Guinea-Bissau
67,GUY,Guyana
68,HTI,Haiti
69,VAT,Holy See
70,HND,Honduras
71,HUN,Hungary
72,ISL,Iceland
73,IND,India
74,IDN,Indonesia
75,IRN,Iran
76,IRQ,Iraq
77,IRL,Ireland
78,ISR,Israel
79,ITA,Italy
80,JAM,Jamaica
81,JPN,Japan
82,JOR,Jordan
83,KAZ,Kazakhstan
84,KEN,Kenya
85,KOR,"Korea, South"
86,XKS,Kosovo
87,KWT,Kuwait
88,KGZ,Kyrgyzstan
89,LAO,Laos
90,LVA,Latvia
91,LBN,Lebanon
92,LBR,Liberia
93,LBY,Libya
94,LIE,Liechtenstein
95,LTU,Lithuania
96,LUX,Luxembourg
97,MDG,Madagascar
98,MYS,Malaysia
99,MDV,Maldives
100,MLI,Mali
101,MLT,Malta
102,MRT,Mauritania
103,MUS,Mauritius
104,MEX,Mexico
105,MDA,Moldova
106,MCO,Monaco
107,MNG,Mongolia
108,MNE,Montenegro
109,MAR,Morocco
110,MOZ,Mozambique
111,,MS Zaandam
112,NAM,Namibia
113,NPL,Nepal
114,NLD,Netherlands
115,NZL,New Zealand
116,NIC,Nicaragua
117,NER,Niger
118,NGA,Nigeria
119,MKD,North Macedonia
120,NOR,Norway
121,OMN,Oman
122,PAK,Pakistan
123,PAN,Panama
124,PNG,Papua New Guinea
125,PRY,Paraguay
126,PER,Peru
127,PHL,Philippines
128,POL,Poland
129,PRT,Portugal
130,QAT,Qatar
131,ROU,Romania
132,RUS,Russia
133,RWA,Rwanda
134,KNA,Saint Kitts and Nevis
135,LCA,Saint Lucia
136,VCT,Saint Vincent and the Grenadines
137,SMR,San Marino
138,SAU,Saudi Arabia
139,SEN,Senegal
140,SRB,Serbia
141,SYC,Seychelles
142,SGP,Singapore
143,SVK,Slovakia
144,SVN,Slovenia
145,SOM,Somalia
146,ZAF,South Africa
147,ESP,Spain
148,LKA,Sri Lanka
149,SDN,Sudan
150,SUR,Suriname
151,SWE,Sweden
152,CHE,Switzerland
153,SYR,Syria
154,TWN,Taiwan*
155,TZA,Tanzania
156,THA,Thailand
157,TLS,Timor-Leste
158,TGO,Togo
159,TTO,Trinidad and Tobago
160,TUN,Tunisia
161,TUR,Turkey
162,UGA,Uganda
163,UKR,Ukraine
164,ARE,United Arab Emirates
165,GBR,United Kingdom
166,URY,Uruguay
167,UZB,Uzbekistan
168,VEN,Venezuela
169,VNM,Vietnam
170,PSE,West Bank and Gaza
171,ZMB,Zambia
172,ZWE,Zimbabwe
173,AUS,Australia
174,CAN,Canada
175,CHN,China
176,USA,US
